"cycle_or_year","file_label","module","variable_name","available"
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160N",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180N",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160B",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180B",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160C",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180C",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160D",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180D",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160E",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180E",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160F",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180F",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160G",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180G",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160M",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ170M",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180M",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160K",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ170K",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180K",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ160L",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ170L",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ180L",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ220",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ230A",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ230B",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ230C",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ230D",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240A",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240AA",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240B",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240BB",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240C",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240CC",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240D",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240DD",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240DK",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240E",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240F",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240G",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240H",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240I",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240J",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240K",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240L",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240M",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240N",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240O",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240P",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240Q",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240R",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240S",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240T",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240U",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240V",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240W",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240X",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240Y",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ240Z",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ300A",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ300B",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","MCQ300C",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","MCQ_F.XPT","medical_conditions","NHANES_CYCLE",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHDEXSTS",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHDDESTS",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX01TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX02TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX03TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX04TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX05TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX06TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX07TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX08TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX09TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX10TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX11TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX12TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX13TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX14TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX15TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX16TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX17TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX18TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX19TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX20TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX21TC",TRUE
