"file_label","data_domain","cycle_or_year","cycle_suffix","module","file_type","source_url","local_path","download_status","size_bytes","sha256","error_message","copied_from_readonly","required_for"
"BPQ_H.XPT","NHANES public-use data","2013-2014","H","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BPQ_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/BPQ_H.XPT","AVAILABLE",726720,"aa6ddeab80c73b074ccfd04ad010da404ecb91c048476a194594ce9552d03d49",,,"blood_pressure_questionnaire"
"BPX_H.XPT","NHANES public-use data","2013-2014","H","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BPX_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/BPX_H.XPT","AVAILABLE",1809600,"b6641efc30ac9b9de328dfbf4110d0d120439aadca2c2bc89f2e77310d1a0c8e",,,"blood_pressure_exam"
"CBC_H.XPT","NHANES public-use data","2013-2014","H","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/CBC_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/CBC_H.XPT","AVAILABLE",1586640,"08f6fca4aacebacafb2b311c2edfc6897ad92f2c8f8dab14e18bf41acdc4ddee",,,"complete_blood_count"
"COT_H.XPT","NHANES public-use data","2013-2014","H","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/COT_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/COT_H.XPT","AVAILABLE",358000,"654c3f8c013b24a61a8cea3acabda84495c8ef3e3aa483016c2fd00f69005e8f",,,"serum_cotinine"
"DEMO_H.XPT","NHANES public-use data","2013-2014","H","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/DEMO_H.XPT","AVAILABLE",3833200,"f8f0cbb3085a323d4cde22349b164878fea1e64dbc404e65b5815c7816b547d7",,,"demographics"
"DIQ_H.XPT","NHANES public-use data","2013-2014","H","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/DIQ_H.XPT","AVAILABLE",4228960,"c74c7ccef65e6997dfac1db1e73bc3f63dec67c70b2e322ffc14f14ce27429a9",,,"diabetes"
"GHB_H.XPT","NHANES public-use data","2013-2014","H","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/GHB_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/GHB_H.XPT","AVAILABLE",112720,"0695894ad55ac96f315a8415401977b0856c402d16762115b534bcd5dfeae89e",,,"glycohemoglobin"
"MCQ_H.XPT","NHANES public-use data","2013-2014","H","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/MCQ_H.XPT","AVAILABLE",7439280,"5c83210e6e1fe929282621322ed0f94d95cdb0a37ccaff36f703ab0b2e7b9dc6",,,"medical_conditions"
"OHXDEN_H.XPT","NHANES public-use data","2013-2014","H","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/OHXDEN_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/OHXDEN_H.XPT","AVAILABLE",7327680,"4f5294c4ef0a8d170c21cb637d440ad8f0275a12cd6439230ce9dee2859da797",,,"dentition"
"OHXPER_H.XPT","NHANES public-use data","2013-2014","H","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/OHXPER_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/OHXPER_H.XPT","AVAILABLE",19046720,"f2b9df0ade5fcd27e072e61daf680078d34cb28c847c1e17b0b4052cff529981",,,"periodontal_full_mouth"
"RXQ_RX_H.XPT","NHANES public-use data","2013-2014","H","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/RXQ_RX_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/RXQ_RX_H.XPT","AVAILABLE",9897680,"ca9801043c20b2074e20baf73130e1ce25c4115f2270649997f6c2ef936b23b6",,,"medications"
"SMQ_H.XPT","NHANES public-use data","2013-2014","H","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/SMQ_H.XPT","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/2013-2014/SMQ_H.XPT","AVAILABLE",2170000,"86d74bb8842ce6d60350944417cbd3e9ee39dd5a9fa1bda33426f276b673861f",,,"smoking"
"NHANES_2009_2010_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2009-2010","F","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2009_2010_MORT_2019_PUBLIC.dat","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/linked_mortality/NHANES_2009_2010_MORT_2019_PUBLIC.dat","AVAILABLE",517751,"eabf074331e20d3f3cbb8ddf21e3a43e517f5694187c12b755741f4472894786",,,"all-cause mortality status and follow-up time"
"NHANES_2011_2012_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2011-2012","G","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2011_2012_MORT_2019_PUBLIC.dat","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/linked_mortality/NHANES_2011_2012_MORT_2019_PUBLIC.dat","AVAILABLE",475574,"ff98b6c87172643426b1c6d20f76495592bebd618ea18f742d98a44b84456b30",,,"all-cause mortality status and follow-up time"
"NHANES_2013_2014_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2013-2014","H","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2013_2014_MORT_2019_PUBLIC.dat","/Users/jinhaibin/Desktop/nhanes金海斌定稿3/重跑/01_code_working_copy/public_repository_candidate/data_private_DO_NOT_UPLOAD/public_raw_cache/linked_mortality/NHANES_2013_2014_MORT_2019_PUBLIC.dat","AVAILABLE",494268,"588acea1d4cdf47a14cc9a35bd56e372739b8788d63ca0af98bf954c70c29905",,,"all-cause mortality status and follow-up time"
